'sample interval','ABPmean','ABPsys','ABPdias','C.O.','HR','PAPmean','PAPsys','PAPdias','PULSE','RESP','SpO2','Tblood'
'1.024 sec','mmHg','mmHg','mmHg','lpm','bpm','mmHg','mmHg','mmHg','bpm','bpm','%','degC'
0,60.000,102.000,42.000,4.950,65.000,29.000,44.000,20.000,64.000,37.000,86.000,36.500
1,60.000,102.000,42.000,4.950,65.000,29.000,44.000,20.000,64.000,43.000,86.000,36.500
2,60.000,101.000,42.000,4.950,64.000,29.000,45.000,20.000,64.000,46.000,86.000,36.500
3,60.000,101.000,42.000,4.950,64.000,29.000,45.000,20.000,64.000,46.000,86.000,36.500
4,60.000,101.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,45.000,86.000,36.500
5,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,44.000,86.000,36.500
6,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,38.000,86.000,36.500
7,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,37.000,86.000,36.500
8,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,48.000,86.000,36.500
9,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,48.000,86.000,36.500
10,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,47.000,86.000,36.500
11,60.000,101.000,42.000,4.950,65.000,29.000,44.000,20.000,64.000,46.000,86.000,36.500
12,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,36.000,86.000,36.500
13,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,37.000,86.000,36.500
14,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,37.000,86.000,36.500
15,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,37.000,86.000,36.500
16,60.000,101.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,35.000,86.000,36.500
17,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,35.000,86.000,36.500
18,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,39.000,86.000,36.500
19,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,40.000,86.000,36.500
20,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,40.000,86.000,36.500
21,60.000,101.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,36.000,86.000,36.500
22,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,36.000,86.000,36.500
23,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,43.000,86.000,36.500
24,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,43.000,86.000,36.500
25,60.000,101.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,43.000,86.000,36.500
26,60.000,101.000,42.000,4.950,64.000,29.000,46.000,20.000,64.000,43.000,86.000,36.500
27,60.000,101.000,42.000,4.950,64.000,29.000,46.000,20.000,64.000,42.000,86.000,36.500
28,60.000,102.000,42.000,4.950,64.000,30.000,45.000,21.000,64.000,41.000,86.000,36.500
29,60.000,102.000,42.000,4.950,64.000,29.000,45.000,21.000,64.000,40.000,86.000,36.500
30,60.000,102.000,42.000,4.950,64.000,29.000,45.000,20.000,64.000,33.000,86.000,36.500
31,60.000,102.000,42.000,4.950,64.000,30.000,46.000,20.000,64.000,33.000,86.000,36.500
32,60.000,102.000,42.000,4.950,64.000,30.000,47.000,20.000,64.000,33.000,86.000,36.500
33,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,33.000,86.000,36.500
34,60.000,102.000,42.000,4.950,64.000,30.000,46.000,21.000,64.000,33.000,86.000,36.500
35,60.000,102.000,42.000,4.950,64.000,30.000,46.000,21.000,64.000,27.000,86.000,36.500
36,60.000,102.000,42.000,4.950,64.000,30.000,46.000,21.000,64.000,27.000,86.000,36.500
37,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,27.000,86.000,36.500
38,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,27.000,86.000,36.500
39,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,26.000,86.000,36.500
40,60.000,102.000,42.000,4.950,64.000,30.000,46.000,21.000,64.000,27.000,86.000,36.500
41,60.000,102.000,42.000,4.950,64.000,30.000,46.000,21.000,64.000,26.000,86.000,36.500
42,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,26.000,86.000,36.300
43,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,26.000,86.000,36.300
44,60.000,102.000,42.000,4.950,64.000,30.000,47.000,21.000,64.000,26.000,86.000,36.300
45,60.000,102.000,42.000,4.950,65.000,31.000,46.000,21.000,64.000,31.000,86.000,36.500
46,60.000,102.000,42.000,4.950,65.000,31.000,45.000,21.000,64.000,31.000,86.000,36.500
47,60.000,102.000,42.000,4.950,65.000,30.000,45.000,21.000,64.000,40.000,86.000,36.500
48,60.000,102.000,42.000,4.950,65.000,30.000,45.000,21.000,64.000,40.000,86.000,36.500
49,60.000,102.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,40.000,86.000,36.500
50,60.000,102.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,52.000,86.000,36.500
51,60.000,102.000,43.000,4.950,65.000,30.000,45.000,21.000,64.000,51.000,86.000,36.500
52,60.000,102.000,43.000,4.950,65.000,30.000,45.000,21.000,64.000,50.000,86.000,36.500
53,60.000,102.000,43.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
54,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
55,60.000,102.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,40.000,86.000,36.500
56,60.000,102.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,40.000,86.000,36.500
57,60.000,102.000,42.000,4.950,65.000,30.000,45.000,20.000,64.000,40.000,86.000,36.500
58,60.000,102.000,42.000,4.950,65.000,30.000,44.000,21.000,64.000,40.000,86.000,36.500
59,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
60,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
61,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
62,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,40.000,86.000,36.500
63,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,39.000,86.000,36.500
64,60.000,102.000,42.000,4.950,65.000,29.000,44.000,20.000,64.000,43.000,86.000,36.500
65,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,43.000,86.000,36.500
66,60.000,102.000,42.000,4.950,65.000,29.000,45.000,20.000,64.000,43.000,86.000,36.500
67,60.000,102.000,42.000,4.950,65.000,29.000,46.000,20.000,64.000,46.000,86.000,36.500
68,60.000,102.000,42.000,4.950,64.000,29.000,46.000,20.000,64.000,48.000,86.000,36.500
69,60.000,102.000,42.000,4.950,64.000,29.000,45.000,20.000,64.000,48.000,86.000,36.500
70,60.000,102.000,42.000,4.950,64.000,29.000,45.000,20.000,64.000,48.000,86.000,36.500
71,0.000,0.000,0.000,4.950,64.000,0.000,0.000,0.000,64.000,0.000,86.000,36.500
72,0.000,0.000,0.000,4.950,64.000,0.000,0.000,0.000,64.000,0.000,86.000,36.500
73,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,86.000,36.500
74,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,86.000,36.500
75,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,86.000,36.500
76,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
77,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
78,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
79,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
80,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
81,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
82,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
83,0.000,0.000,0.000,4.950,0.000,0.000,0.000,0.000,64.000,0.000,87.000,36.500
84,60.000,60.000,60.000,4.950,0.000,23.000,23.000,23.000,64.000,0.000,87.000,36.500
85,64.000,64.000,64.000,4.950,0.000,25.000,25.000,25.000,64.000,0.000,87.000,36.500
86,61.000,102.000,42.000,4.950,0.000,31.000,46.000,21.000,64.000,0.000,87.000,36.500
87,60.000,102.000,43.000,4.950,0.000,29.000,43.000,22.000,64.000,0.000,87.000,36.500
88,60.000,102.000,43.000,4.950,0.000,29.000,43.000,21.000,64.000,0.000,87.000,36.500
89,60.000,102.000,43.000,4.950,0.000,29.000,44.000,20.000,64.000,0.000,87.000,36.500
90,60.000,102.000,43.000,4.950,0.000,29.000,46.000,20.000,64.000,43.000,87.000,36.500
91,60.000,102.000,43.000,4.950,0.000,30.000,46.000,20.000,64.000,42.000,87.000,36.500
